mu,omega,alpha1,beta1,shape,tick,ar1,ar2,ma1,ma2,alpha2,beta2,gamma1,ma3,skew,ar3,gamma2,ar4,eta11,eta21,ma4,ma5,label
0.000715609231841459,3.36690395120931e-05,0.0303490582590829,0.224291248275085,9.18613372076514,CHRW,,,,,0.138069319085677,0.527418466484381,,,,,,,,,,,2002
0.000313952241562586,0.00013036991840413,0.507429181070476,0.491568119194643,3.08966293208757,CI,,,,,,,,,,,,,,,,,2002
0.000467139522602403,1.20903891630248e-05,0.150988263339443,0.80882131463222,18.4390890041599,CINF,,,,,,,,,,,,,,,,,2002
-0.00037813484868931,2.33464120315662e-05,0.171277909338436,0.747759283525486,12.0249662791595,CL,,,,,,,,,,,,,,,,,2002
0.000304858099288843,2.23962387198766e-05,0.185919183131055,0.765494722124996,5.63332611908161,CLX,,,,,,,,,,,,,,,,,2002
0.000279629433455472,2.32669347654917e-05,0.167701687785959,0.800083695907258,3.86083898003102,CMA,,,,,,,,,,,,,,,,,2002
-0.00218218935354173,7.56993792920832e-05,0.0285087653789221,0.776152984430168,9.77774135162063,CMCSA,,,,,0.15718196244321,,,,,,,,,,,,2002
-0.0016811629506543,9.08689984274193e-05,0.175020114775795,0.709609336643362,24.484095437035,CMI,,,,,,,,,,,,,,,,,2002
-0.00175713122838746,2.61325817898657e-05,0.125417943449142,0.873582053244484,3.49956567314871,CMS,1.33668115697465,-0.882018870766392,-1.2995777396933,0.897842412151294,,,,,,,,,,,,,2002
0.000170196955919027,0.000451378912540308,0.565422903335601,0.433576817791123,2.86608211800469,CNC,,,,,,,,,,,,,,,,,2002
0.000416586366080747,0.00013059166830734,0.36771631336413,0.631283682349246,3.2041831591245,CNP,-1.85306430959329,-0.918520003156256,1.87495760328012,0.951402998565211,,,,,,,,,,,,,2002
-0.000707129455345964,3.21325424337497e-05,0.0570074142299936,0.114099242424629,3.63471119376609,COF,1.4389848257395,-0.858923210894281,-1.53949253868512,0.948559716542773,,0.809410637741673,,,,,,,,,,,2002
0.000310520182681443,2.46769087320509e-06,1.0034919351844e-05,0.997595481809647,3.15273800250126,COO,,,,,,,,,,,,,,,,,2002
-0.000385942419834094,2.375044178818e-05,0.146668289016608,0.771698027136095,99.9805411401941,COP,,,,,,,,,,,,,,,,,2002
0.000742210559172716,2.90378015279572e-05,0.156010105307574,0.802894655378223,11.1714720137909,COR,,,,,,,,,,,,,,,,,2002
-0.00137598238111669,1.8601823913151e-05,2.44245071291459e-09,0.842624652150456,93.1844503650563,COST,,,-0.0856690366916289,,0.128337232438934,,,,,,,,,,,,2002
-0.00101073032995879,7.85574758037005e-05,0.241900987595163,0.501369745700336,5.87766003928552,CPB,,,-0.159297057843486,,,,,,,,,,,,,,2002
-0.000764252664227133,6.7653105776063e-05,1.89162506484645e-09,0.934064552783018,3.45226064385844,CPRT,,,,,,,-0.00869065442188241,,,,,,,,,,2002
0.000159716482844413,2.60219629367212e-05,0.3292240942812,0.243250926687151,52.807611751871,CPT,0.698645074517621,-0.864141486452429,-0.766035383397142,0.986602065147364,,0.258684791878675,,,,-0.057737235069937,,,,,,,2002
8.86646853098068e-05,5.4875338392959e-05,0.0732740935551599,0.827625913069856,4.93059314482375,CRL,,,,,,,,,,,,,,,,,2002
-0.00164238851374968,1.59458137023703e-06,6.6585078021447e-09,0.998999726691328,7.26218086984386,CSCO,-0.0726313261681096,-0.0591261524773377,,,,,,,,,,,,,,,2002
-0.000366666005464981,0.000221377383910788,0.0780724646925447,1.21833242131568e-09,6.46307392987437,CSGP,,,,,,0.74371640374333,,,,,,,,,,,2002
-0.000647633850945736,2.19354338077703e-05,0.0133345819407403,0.939865836483387,6.49571391292354,CSX,-0.184580326516002,-0.0151757781559061,,,,,,,,,,,,,,,2002
-0.000527851795986728,3.22807223459716e-05,0.106684978067177,0.832931316221866,15.5700120608752,CTAS,-0.260935486046309,,,,,,,,,,,,,,,,2002
-1.50839761631949e-05,5.74944405966669e-07,2.79529654780846e-08,0.998999697526522,14.4034080059727,CTRA,0.420411433079159,-0.619675531039605,-0.46134282719841,0.822684428080053,,,,,,,,,,,,,2002
0.00140524438954783,5.15290285405282e-06,0.0352181101695078,0.365912862379614,3.19697478063247,CTSH,,,,,,0.597868714747735,,,0.869365730952412,,,,,,,,2002
-0.00293626065542868,7.77933529659432e-05,0.195034450506633,0.701423818080817,4.21647783606594,CVS,,,,,,,,,,,,,,,,,2002
-0.000168504787600935,1.52332708983362e-05,0.141003640739643,0.812928176042914,7.71047134648664,CVX,,,,,,,,,,,,,,,,,2002
0.00115982404920323,3.68360476682507e-05,0.209676969646895,0.742039531292975,3.6397329125534,D,-0.846343246555548,,0.914734044921683,,,,,,,,,,,,,,2002
